Date,ActivityLicensesPhilly
2007-01-01,856
2007-02-01,580
2007-03-01,831
2007-04-01,781
2007-05-01,821
2007-06-01,706
2007-07-01,963
2007-08-01,823
2007-09-01,681
2007-10-01,783
2007-11-01,561
2007-12-01,478
2008-01-01,590
2008-02-01,595
2008-03-01,545
2008-04-01,673
2008-05-01,749
2008-06-01,627
2008-07-01,709
2008-08-01,558
2008-09-01,554
2008-10-01,472
2008-11-01,371
2008-12-01,367
2009-01-01,365
2009-02-01,415
2009-03-01,355
2009-04-01,406
2009-05-01,410
2009-06-01,590
2009-07-01,393
2009-08-01,417
2009-09-01,461
2009-10-01,539
2009-11-01,510
2009-12-01,517
2010-01-01,503
2010-02-01,347
2010-03-01,550
2010-04-01,564
2010-05-01,488
2010-06-01,493
2010-07-01,440
2010-08-01,555
2010-09-01,463
2010-10-01,452
2010-11-01,437
2010-12-01,402
2011-01-01,445
2011-02-01,382
2011-03-01,618
2011-04-01,528
2011-05-01,606
2011-06-01,420
2011-07-01,498
2011-08-01,587
2011-09-01,516
2011-10-01,500
2011-11-01,427
2011-12-01,432
2012-01-01,541
2012-02-01,509
2012-03-01,662
2012-04-01,538
2012-05-01,575
2012-06-01,346
2012-07-01,403
2012-08-01,464
2012-09-01,346
2012-10-01,340
2012-11-01,285
2012-12-01,344
2013-01-01,528
2013-02-01,393
2013-03-01,411
2013-04-01,703
2013-05-01,620
2013-06-01,598
2013-07-01,631
2013-08-01,600
2013-09-01,527
2013-10-01,575
2013-11-01,409
2013-12-01,607
2014-01-01,887
2014-02-01,656
2014-03-01,733
2014-04-01,712
2014-05-01,790
2014-06-01,664
2014-07-01,615
2014-08-01,615
2014-09-01,585
2014-10-01,603
2014-11-01,465
2014-12-01,602
2015-01-01,519
2015-02-01,703
2015-03-01,759
2015-04-01,779
2015-05-01,625
2015-06-01,683
2015-07-01,602
2015-08-01,593
2015-09-01,550
2015-10-01,630
2015-11-01,627
2015-12-01,536
2016-01-01,486
2016-02-01,674
2016-03-01,660
2016-04-01,577
2016-05-01,607
2016-06-01,604
2016-07-01,587
2016-08-01,581
2016-09-01,480
2016-10-01,546
2016-11-01,660
2016-12-01,681
2017-01-01,657
2017-02-01,644
2017-03-01,926
2017-04-01,623
2017-05-01,798
2017-06-01,728
2017-07-01,596
2017-08-01,635
2017-09-01,558
2017-10-01,617
2017-11-01,612
2017-12-01,609
2018-01-01,725
2018-02-01,711
2018-03-01,783
2018-04-01,876
2018-05-01,862
2018-06-01,774
2018-07-01,561
2018-08-01,727
2018-09-01,552
2018-10-01,697
2018-11-01,655
2018-12-01,551
2019-01-01,705
2019-02-01,724
2019-03-01,860
2019-04-01,813
2019-05-01,798
2019-06-01,654
2019-07-01,661
2019-08-01,668
2019-09-01,660
2019-10-01,696
2019-11-01,602
2019-12-01,648
2020-01-01,761
2020-02-01,735
2020-03-01,431
2020-04-01,256
2020-05-01,340
2020-06-01,685
2020-07-01,846
2020-08-01,817
2020-09-01,711
2020-10-01,694
2020-11-01,602
2020-12-01,543
2021-01-01,680
2021-02-01,639
2021-03-01,791
2021-04-01,712
2021-05-01,665
2021-06-01,634
