Date,PersonalIncome
1939-01-01,
1939-04-01,
1939-07-01,
1939-10-01,
1940-01-01,
1940-04-01,
1940-07-01,
1940-10-01,
1941-01-01,
1941-04-01,
1941-07-01,
1941-10-01,
1942-01-01,
1942-04-01,
1942-07-01,
1942-10-01,
1943-01-01,
1943-04-01,
1943-07-01,
1943-10-01,
1944-01-01,
1944-04-01,
1944-07-01,
1944-10-01,
1945-01-01,
1945-04-01,
1945-07-01,
1945-10-01,
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,
1947-01-01,189.713
1947-04-01,189.72
1947-07-01,197.768
1947-10-01,200.715
1948-01-01,206.493
1948-04-01,211.974
1948-07-01,217.423
1948-10-01,218.101
1949-01-01,212.023
1949-04-01,210.989
1949-07-01,210.411
1949-10-01,210.862
1950-01-01,226.32
1950-04-01,227.664
1950-07-01,236.06
1950-10-01,244.896
1951-01-01,254.14
1951-04-01,263.109
1951-07-01,267.548
1951-10-01,272.131
1952-01-01,274.284
1952-04-01,278.26
1952-07-01,285.331
1952-10-01,291.961
1953-01-01,296.379
1953-04-01,300.238
1953-07-01,300.144
1953-10-01,300.148
1954-01-01,300.127
1954-04-01,299.797
1954-07-01,301.783
1954-10-01,307.175
1955-01-01,313.515
1955-04-01,321.06
1955-07-01,328.471
1955-10-01,333.585
1956-01-01,338.983
1956-04-01,344.79
1956-07-01,350.083
1956-10-01,357.751
1957-01-01,362.367
1957-04-01,367.11
1957-07-01,371.679
1957-10-01,370.778
1958-01-01,371.282
1958-04-01,373.724
1958-07-01,382.613
1958-10-01,388.187
1959-01-01,393.98
1959-04-01,402.363
1959-07-01,404.741
1959-10-01,410.367
1960-01-01,416.651
1960-04-01,421.743
1960-07-01,424.375
1960-10-01,425.782
1961-01-01,430.164
1961-04-01,436.376
1961-07-01,443.432
1961-10-01,452.329
1962-01-01,459.335
1962-04-01,466.75
1962-07-01,471.497
1962-10-01,477.768
1963-01-01,483.208
1963-04-01,488.05
1963-07-01,495.194
1963-10-01,504.64
1964-01-01,514.147
1964-04-01,523.561
1964-07-01,533.162
1964-10-01,541.898
1965-01-01,552.984
1965-04-01,562.564
1965-07-01,576.868
1965-10-01,590.228
1966-01-01,602.901
1966-04-01,612.809
1966-07-01,626.019
1966-10-01,639.626
1967-01-01,650.497
1967-04-01,657.638
1967-07-01,671.585
1967-10-01,683.174
1968-01-01,702.518
1968-04-01,722.353
1968-07-01,741.25
1968-10-01,757.524
1969-01-01,772.358
1969-04-01,790.61
1969-07-01,811.619
1969-10-01,826.76
1970-01-01,841.741
1970-04-01,860.032
1970-07-01,874.679
1970-10-01,883.724
1971-01-01,903.659
1971-04-01,927.064
1971-07-01,941.115
1971-10-01,959.3
1972-01-01,986.539
1972-04-01,1004.185
1972-07-01,1030.12
1972-10-01,1076.989
1973-01-01,1095.077
1973-04-01,1124.86
1973-07-01,1152.519
1973-10-01,1190.659
1974-01-01,1206.827
1974-04-01,1232.887
1974-07-01,1269.102
1974-10-01,1298.456
1975-01-01,1318.422
1975-04-01,1349.955
1975-07-01,1386.478
1975-10-01,1422.706
1976-01-01,1456.113
1976-04-01,1481.236
1976-07-01,1518.387
1976-10-01,1554.856
1977-01-01,1588.814
1977-04-01,1633.021
1977-07-01,1677.748
1977-10-01,1737.356
1978-01-01,1778.084
1978-04-01,1838.23
1978-07-01,1892.608
1978-10-01,1945.96
1979-01-01,2005.384
1979-04-01,2045.411
1979-07-01,2110.85
1979-10-01,2169.03
1980-01-01,2231.943
1980-04-01,2269.449
1980-07-01,2348.492
1980-10-01,2444.702
1981-01-01,2508.89
1981-04-01,2559.805
1981-07-01,2659.108
1981-10-01,2692.662
1982-01-01,2727.838
1982-04-01,2772.282
1982-07-01,2812.468
1982-10-01,2853.801
1983-01-01,2892.399
1983-04-01,2942.074
1983-07-01,3001.186
1983-10-01,3088.57
1984-01-01,3178.949
1984-04-01,3262.865
1984-07-01,3337.375
1984-10-01,3391.684
1985-01-01,3455.406
1985-04-01,3495.499
1985-07-01,3543.075
1985-10-01,3605.539
1986-01-01,3667.613
1986-04-01,3708.775
1986-07-01,3757.134
1986-10-01,3798.812
1987-01-01,3855.989
1987-04-01,3917.519
1987-07-01,3988.546
1987-10-01,4084.343
1988-01-01,4160.579
1988-04-01,4234.807
1988-07-01,4326.297
1988-10-01,4411.905
1989-01-01,4537.232
1989-04-01,4592.892
1989-07-01,4648.502
1989-10-01,4723.658
1990-01-01,4818.861
1990-04-01,4899.213
1990-07-01,4958.513
1990-10-01,4978.564
1991-01-01,4992.467
1991-04-01,5054.094
1991-07-01,5107.067
1991-10-01,5186.024
1992-01-01,5297.824
1992-04-01,5394.385
1992-07-01,5456.272
1992-10-01,5534.992
1993-01-01,5560.691
1993-04-01,5635.821
1993-07-01,5677.605
1993-10-01,5757.671
1994-01-01,5807.935
1994-04-01,5912.749
1994-07-01,5978.373
1994-10-01,6089.374
1995-01-01,6181.217
1995-04-01,6250.73
1995-07-01,6329.264
1995-10-01,6404.29
1996-01-01,6520.965
1996-04-01,6649.846
1996-07-01,6725.853
1996-10-01,6817.457
1997-01-01,6939.356
1997-04-01,7022.275
1997-07-01,7135.314
1997-10-01,7273.02
1998-01-01,7434.561
1998-04-01,7561.053
1998-07-01,7668.149
1998-10-01,7762.884
1999-01-01,7859.136
1999-04-01,7922.929
1999-07-01,8038.308
1999-10-01,8206.872
2000-01-01,8443.321
2000-04-01,8586.022
2000-07-01,8746.934
2000-10-01,8847.395
2001-01-01,9009.227
2001-04-01,9032.446
2001-07-01,9009.681
2001-10-01,8999.87
2002-01-01,9041.513
2002-04-01,9141.317
2002-07-01,9188.351
2002-10-01,9272.596
2003-01-01,9313.645
2003-04-01,9425.634
2003-07-01,9558.974
2003-10-01,9695.809
2004-01-01,9792.374
2004-04-01,9957.798
2004-07-01,10103.606
2004-10-01,10323.273
2005-01-01,10345.158
2005-04-01,10516.78
2005-07-01,10686.073
2005-10-01,10871.714
2006-01-01,11181.08
2006-04-01,11336.306
2006-07-01,11435.665
2006-10-01,11585.748
2007-01-01,11824.073
2007-04-01,11988.702
2007-07-01,12069.234
2007-10-01,12203.422
2008-01-01,12335.319
2008-04-01,12669.427
2008-07-01,12508.636
2008-10-01,12396.851
2009-01-01,12057.035
2009-04-01,12087.321
2009-07-01,12033.275
2009-10-01,12144.02
2010-01-01,12321.196
2010-04-01,12544.653
2010-07-01,12682.015
2010-10-01,12830.203
2011-01-01,13175.888
2011-04-01,13280.594
2011-07-01,13413.773
2011-10-01,13486.908
2012-01-01,13786.257
2012-04-01,13945.868
2012-07-01,13922.653
2012-10-01,14402.576
2013-01-01,14019.508
2013-04-01,14152.967
2013-07-01,14244.127
2013-10-01,14358.025
2014-01-01,14625.084
2014-04-01,14874.611
2014-07-01,15099.486
2014-10-01,15307.118
2015-01-01,15497.731
2015-04-01,15639.877
2015-07-01,15756.951
2015-10-01,15846.354
2016-01-01,15918.581
2016-04-01,16002.071
2016-07-01,16151.634
2016-10-01,16315.282
2017-01-01,16551.937
2017-04-01,16740.619
2017-07-01,16921.411
2017-10-01,17145.391
2018-01-01,17354.961
2018-04-01,17550.741
2018-07-01,17800.571
2018-10-01,18028.914
2019-01-01,18345.36
2019-04-01,18504.86
2019-07-01,18655.468
2019-10-01,18842.285
2020-01-01,19033.665
2020-04-01,20479.398
2020-07-01,20019.228
2020-10-01,19796.937
2021-01-01,22095.538
2021-04-01,20916.36
2021-07-01,21005.245
2021-10-01,21162.118
2022-01-01,21319.841
2022-04-01,21578.255
2022-07-01,21969.486
2022-10-01,22241.277
2023-01-01,22492.561
