Date,WeeklyEconomicIndex
2008-01-05,1.42
2008-01-12,1.46
2008-01-19,1.4
2008-01-26,0.96
2008-02-02,0.73
2008-02-09,0.78
2008-02-16,1.18
2008-02-23,0.91
2008-03-01,0.95
2008-03-08,0.52
2008-03-15,0.66
2008-03-22,0.73
2008-03-29,0.96
2008-04-05,1.06
2008-04-12,0.85
2008-04-19,0.99
2008-04-26,0.46
2008-05-03,0.48
2008-05-10,0.52
2008-05-17,0.45
2008-05-24,0.41
2008-05-31,0.41
2008-06-07,0.51
2008-06-14,0.34
2008-06-21,0.14
2008-06-28,0.51
2008-07-05,0.87
2008-07-12,0.3
2008-07-19,0.11
2008-07-26,0.16
2008-08-02,0.25
2008-08-09,0.09
2008-08-16,-0.03
2008-08-23,0.01
2008-08-30,0.06
2008-09-06,-0.03
2008-09-13,-0.38
2008-09-20,-0.75
2008-09-27,-0.86
2008-10-04,-0.88
2008-10-11,-0.97
2008-10-18,-0.93
2008-10-25,-1.01
2008-11-01,-1.09
2008-11-08,-1.69
2008-11-15,-2.13
2008-11-22,-1.26
2008-11-29,-2.56
2008-12-06,-2.55
2008-12-13,-2.41
2008-12-20,-2.97
2008-12-27,-2.86
2009-01-03,-3.16
2009-01-10,-3.28
2009-01-17,-3.3
2009-01-24,-2.95
2009-01-31,-3.29
2009-02-07,-3.25
2009-02-14,-3.61
2009-02-21,-3.71
2009-02-28,-3.93
2009-03-07,-3.57
2009-03-14,-3.51
2009-03-21,-3.23
2009-03-28,-3.62
2009-04-04,-3.4
2009-04-11,-3.44
2009-04-18,-3.74
2009-04-25,-3.42
2009-05-02,-3.37
2009-05-09,-3.54
2009-05-16,-3.45
2009-05-23,-3.34
2009-05-30,-3.49
2009-06-06,-3.76
2009-06-13,-3.69
2009-06-20,-3.5
2009-06-27,-3.69
2009-07-04,-3.28
2009-07-11,-3.56
2009-07-18,-3.37
2009-07-25,-3.41
2009-08-01,-3.11
2009-08-08,-3.05
2009-08-15,-2.75
2009-08-22,-2.66
2009-08-29,-2.58
2009-09-05,-2.08
2009-09-12,-2.26
2009-09-19,-1.68
2009-09-26,-1.59
2009-10-03,-1.32
2009-10-10,-1.05
2009-10-17,-0.95
2009-10-24,-0.72
2009-10-31,-0.4
2009-11-07,-0.04
2009-11-14,0.44
2009-11-21,0.79
2009-11-28,1.31
2009-12-05,1.04
2009-12-12,1.21
2009-12-19,2.13
2009-12-26,2.37
2010-01-02,1.84
2010-01-09,1.8
2010-01-16,1.95
2010-01-23,1.88
2010-01-30,2.25
2010-02-06,2.58
2010-02-13,2.56
2010-02-20,3.13
2010-02-27,3.4
2010-03-06,3.52
2010-03-13,3.5
2010-03-20,3.44
2010-03-27,3.96
2010-04-03,3.69
2010-04-10,3.7
2010-04-17,3.87
2010-04-24,3.92
2010-05-01,4.14
2010-05-08,4.32
2010-05-15,4.17
2010-05-22,3.87
2010-05-29,4.63
2010-06-05,4.13
2010-06-12,4.04
2010-06-19,4.2
2010-06-26,4.12
2010-07-03,4.47
2010-07-10,3.62
2010-07-17,3.72
2010-07-24,4.08
2010-07-31,3.79
2010-08-07,3.69
2010-08-14,3.6
2010-08-21,3.71
2010-08-28,3.58
2010-09-04,3.82
2010-09-11,3.58
2010-09-18,3.37
2010-09-25,3.59
2010-10-02,3.32
2010-10-09,3.03
2010-10-16,3.23
2010-10-23,3.49
2010-10-30,3.27
2010-11-06,3.31
2010-11-13,3.19
2010-11-20,3.07
2010-11-27,3.24
2010-12-04,3.45
2010-12-11,3.17
2010-12-18,3.04
2010-12-25,3.91
2011-01-01,3.35
2011-01-08,3.05
2011-01-15,3.04
2011-01-22,2.92
2011-01-29,3.04
2011-02-05,2.73
2011-02-12,3.13
2011-02-19,2.97
2011-02-26,2.82
2011-03-05,2.75
2011-03-12,2.78
2011-03-19,2.83
2011-03-26,2.58
2011-04-02,2.76
2011-04-09,2.88
2011-04-16,2.82
2011-04-23,2.69
2011-04-30,2.24
2011-05-07,2.06
2011-05-14,2.43
2011-05-21,2.32
2011-05-28,2.19
2011-06-04,2.36
2011-06-11,2.27
2011-06-18,2.26
2011-06-25,1.98
2011-07-02,2.4
2011-07-09,2.2
2011-07-16,2.11
2011-07-23,2.1
2011-07-30,2.46
2011-08-06,2.5
2011-08-13,2.02
2011-08-20,1.96
2011-08-27,2.18
2011-09-03,2.05
2011-09-10,1.96
2011-09-17,2.02
2011-09-24,1.94
2011-10-01,2.24
2011-10-08,2.32
2011-10-15,2.13
2011-10-22,1.82
2011-10-29,2.22
2011-11-05,2.08
2011-11-12,2.13
2011-11-19,2.03
2011-11-26,2.06
2011-12-03,1.88
2011-12-10,1.73
2011-12-17,2.26
2011-12-24,2.28
2011-12-31,1.85
2012-01-07,1.59
2012-01-14,1.63
2012-01-21,1.98
2012-01-28,1.46
2012-02-04,1.73
2012-02-11,1.76
2012-02-18,1.65
2012-02-25,1.84
2012-03-03,1.76
2012-03-10,1.91
2012-03-17,1.64
2012-03-24,2.01
2012-03-31,2.23
2012-04-07,2.24
2012-04-14,2.05
2012-04-21,2.04
2012-04-28,2.45
2012-05-05,2.6
2012-05-12,2.19
2012-05-19,2.15
2012-05-26,2.35
2012-06-02,2.06
2012-06-09,2.03
2012-06-16,2.01
2012-06-23,2.15
2012-06-30,2.26
2012-07-07,2.22
2012-07-14,1.96
2012-07-21,1.83
2012-07-28,1.9
2012-08-04,2.13
2012-08-11,2.26
2012-08-18,2.01
2012-08-25,1.81
2012-09-01,2.24
2012-09-08,2.34
2012-09-15,2.12
2012-09-22,2.05
2012-09-29,2.17
2012-10-06,2.15
2012-10-13,2.11
2012-10-20,2.04
2012-10-27,1.97
2012-11-03,1.45
2012-11-10,1.56
2012-11-17,2.04
2012-11-24,2.3
2012-12-01,2.0
2012-12-08,1.66
2012-12-15,2.02
2012-12-22,2.27
2012-12-29,2.1
2013-01-05,2.25
2013-01-12,2.36
2013-01-19,2.2
2013-01-26,2.42
2013-02-02,2.23
2013-02-09,1.98
2013-02-16,2.13
2013-02-23,2.07
2013-03-02,2.08
2013-03-09,1.88
2013-03-16,1.95
2013-03-23,1.93
2013-03-30,1.7
2013-04-06,1.78
2013-04-13,1.62
2013-04-20,1.92
2013-04-27,1.67
2013-05-04,1.57
2013-05-11,1.7
2013-05-18,2.07
2013-05-25,1.71
2013-06-01,2.1
2013-06-08,1.82
2013-06-15,2.2
2013-06-22,2.15
2013-06-29,2.32
2013-07-06,2.26
2013-07-13,2.19
2013-07-20,2.38
2013-07-27,2.13
2013-08-03,2.14
2013-08-10,2.11
2013-08-17,2.15
2013-08-24,2.4
2013-08-31,2.63
2013-09-07,2.7
2013-09-14,2.74
2013-09-21,2.36
2013-09-28,2.3
2013-10-05,2.25
2013-10-12,2.06
2013-10-19,2.08
2013-10-26,2.48
2013-11-02,3.01
2013-11-09,2.45
2013-11-16,2.41
2013-11-23,3.34
2013-11-30,2.4
2013-12-07,1.88
2013-12-14,2.13
2013-12-21,2.66
2013-12-28,2.49
2014-01-04,2.08
2014-01-11,1.5
2014-01-18,1.68
2014-01-25,2.06
2014-02-01,1.93
2014-02-08,1.72
2014-02-15,1.81
2014-02-22,1.94
2014-03-01,2.12
2014-03-08,2.38
2014-03-15,2.54
2014-03-22,2.5
2014-03-29,2.56
2014-04-05,2.67
2014-04-12,2.52
2014-04-19,2.19
2014-04-26,2.4
2014-05-03,2.58
2014-05-10,2.74
2014-05-17,2.19
2014-05-24,2.62
2014-05-31,2.53
2014-06-07,2.38
2014-06-14,2.38
2014-06-21,2.29
2014-06-28,2.08
2014-07-05,2.86
2014-07-12,2.42
2014-07-19,2.15
2014-07-26,2.37
2014-08-02,2.75
2014-08-09,2.48
2014-08-16,2.4
2014-08-23,2.5
2014-08-30,2.6
2014-09-06,2.32
2014-09-13,2.33
2014-09-20,2.49
2014-09-27,2.53
2014-10-04,2.68
2014-10-11,2.86
2014-10-18,2.7
2014-10-25,2.63
2014-11-01,2.48
2014-11-08,2.61
2014-11-15,2.5
2014-11-22,2.6
2014-11-29,2.76
2014-12-06,2.96
2014-12-13,2.97
2014-12-20,3.14
2014-12-27,3.22
2015-01-03,2.44
2015-01-10,2.81
2015-01-17,2.8
2015-01-24,2.58
2015-01-31,2.59
2015-02-07,2.5
2015-02-14,2.94
2015-02-21,2.52
2015-02-28,2.13
2015-03-07,2.08
2015-03-14,2.23
2015-03-21,2.21
2015-03-28,2.42
2015-04-04,2.28
2015-04-11,1.92
2015-04-18,2.21
2015-04-25,2.3
2015-05-02,2.17
2015-05-09,2.04
2015-05-16,2.12
2015-05-23,1.85
2015-05-30,1.63
2015-06-06,2.06
2015-06-13,1.98
2015-06-20,1.99
2015-06-27,1.86
2015-07-04,1.81
2015-07-11,1.65
2015-07-18,2.03
2015-07-25,1.73
2015-08-01,1.81
2015-08-08,1.88
2015-08-15,2.12
2015-08-22,1.75
2015-08-29,1.45
2015-09-05,2.01
2015-09-12,1.49
2015-09-19,1.81
2015-09-26,1.6
2015-10-03,1.85
2015-10-10,1.47
2015-10-17,1.75
2015-10-24,1.61
2015-10-31,1.47
2015-11-07,1.34
2015-11-14,1.2
2015-11-21,0.94
2015-11-28,1.37
2015-12-05,1.34
2015-12-12,0.73
2015-12-19,0.87
2015-12-26,1.07
2016-01-02,0.85
2016-01-09,0.67
2016-01-16,0.75
2016-01-23,0.8
2016-01-30,0.94
2016-02-06,1.23
2016-02-13,1.24
2016-02-20,1.48
2016-02-27,1.32
2016-03-05,1.48
2016-03-12,1.07
2016-03-19,1.02
2016-03-26,0.82
2016-04-02,0.99
2016-04-09,1.44
2016-04-16,1.3
2016-04-23,1.13
2016-04-30,1.32
2016-05-07,1.05
2016-05-14,1.39
2016-05-21,1.24
2016-05-28,2.03
2016-06-04,1.23
2016-06-11,1.39
2016-06-18,1.52
2016-06-25,1.52
2016-07-02,2.11
2016-07-09,1.17
2016-07-16,1.35
2016-07-23,1.64
2016-07-30,1.55
2016-08-06,1.69
2016-08-13,1.39
2016-08-20,1.52
2016-08-27,1.6
2016-09-03,1.55
2016-09-10,1.42
2016-09-17,1.45
2016-09-24,1.42
2016-10-01,1.75
2016-10-08,1.7
2016-10-15,1.46
2016-10-22,1.49
2016-10-29,1.72
2016-11-05,1.93
2016-11-12,1.87
2016-11-19,2.09
2016-11-26,2.0
2016-12-03,1.84
2016-12-10,1.92
2016-12-17,2.14
2016-12-24,2.9
2016-12-31,2.2
2017-01-07,1.78
2017-01-14,1.88
2017-01-21,1.36
2017-01-28,2.22
2017-02-04,2.49
2017-02-11,1.69
2017-02-18,2.07
2017-02-25,2.25
2017-03-04,2.2
2017-03-11,2.57
2017-03-18,2.32
2017-03-25,2.52
2017-04-01,2.58
2017-04-08,2.37
2017-04-15,2.28
2017-04-22,2.08
2017-04-29,2.54
2017-05-06,2.51
2017-05-13,2.38
2017-05-20,2.6
2017-05-27,2.04
2017-06-03,2.16
2017-06-10,2.14
2017-06-17,2.52
2017-06-24,2.13
2017-07-01,2.31
2017-07-08,2.39
2017-07-15,2.24
2017-07-22,2.17
2017-07-29,2.34
2017-08-05,2.35
2017-08-12,2.15
2017-08-19,2.42
2017-08-26,2.49
2017-09-02,1.87
2017-09-09,2.09
2017-09-16,2.14
2017-09-23,2.45
2017-09-30,2.33
2017-10-07,2.39
2017-10-14,2.57
2017-10-21,2.47
2017-10-28,2.35
2017-11-04,2.34
2017-11-11,2.24
2017-11-18,2.47
2017-11-25,2.33
2017-12-02,2.37
2017-12-09,2.28
2017-12-16,2.38
2017-12-23,2.78
2017-12-30,2.53
2018-01-06,2.27
2018-01-13,2.55
2018-01-20,2.71
2018-01-27,2.46
2018-02-03,2.09
2018-02-10,2.42
2018-02-17,2.37
2018-02-24,2.33
2018-03-03,2.35
2018-03-10,2.14
2018-03-17,2.37
2018-03-24,2.34
2018-03-31,2.23
2018-04-07,2.1
2018-04-14,2.39
2018-04-21,2.42
2018-04-28,2.14
2018-05-05,2.51
2018-05-12,2.4
2018-05-19,1.97
2018-05-26,2.63
2018-06-02,2.43
2018-06-09,2.53
2018-06-16,2.12
2018-06-23,2.16
2018-06-30,2.53
2018-07-07,2.44
2018-07-14,2.33
2018-07-21,2.35
2018-07-28,2.25
2018-08-04,2.44
2018-08-11,2.51
2018-08-18,2.5
2018-08-25,2.69
2018-09-01,3.61
2018-09-08,3.02
2018-09-15,2.85
2018-09-22,2.87
2018-09-29,2.78
2018-10-06,2.96
2018-10-13,2.67
2018-10-20,2.44
2018-10-27,2.79
2018-11-03,2.58
2018-11-10,2.6
2018-11-17,2.54
2018-11-24,2.79
2018-12-01,2.57
2018-12-08,2.63
2018-12-15,2.75
2018-12-22,2.6
2018-12-29,2.33
2019-01-05,2.24
2019-01-12,2.11
2019-01-19,2.42
2019-01-26,2.24
2019-02-02,1.99
2019-02-09,1.62
2019-02-16,1.8
2019-02-23,2.12
2019-03-02,1.91
2019-03-09,1.86
2019-03-16,1.95
2019-03-23,1.78
2019-03-30,2.05
2019-04-06,2.24
2019-04-13,2.0
2019-04-20,2.19
2019-04-27,1.89
2019-05-04,1.92
2019-05-11,1.89
2019-05-18,1.83
2019-05-25,1.77
2019-06-01,1.89
2019-06-08,1.76
2019-06-15,1.83
2019-06-22,1.9
2019-06-29,1.78
2019-07-06,2.13
2019-07-13,1.54
2019-07-20,1.84
2019-07-27,1.69
2019-08-03,1.82
2019-08-10,1.62
2019-08-17,1.58
2019-08-24,1.62
2019-08-31,1.48
2019-09-07,1.72
2019-09-14,1.54
2019-09-21,1.37
2019-09-28,1.55
2019-10-05,1.53
2019-10-12,1.39
2019-10-19,1.54
2019-10-26,1.46
2019-11-02,1.58
2019-11-09,1.49
2019-11-16,1.28
2019-11-23,2.25
2019-11-30,1.46
2019-12-07,0.94
2019-12-14,1.39
2019-12-21,1.83
2019-12-28,1.94
2020-01-04,1.71
2020-01-11,1.23
2020-01-18,1.49
2020-01-25,1.62
2020-02-01,2.01
2020-02-08,1.85
2020-02-15,1.56
2020-02-22,1.51
2020-02-29,1.55
2020-03-07,1.42
2020-03-14,1.06
2020-03-21,-3.31
2020-03-28,-7.03
2020-04-04,-8.99
2020-04-11,-10.88
2020-04-18,-11.27
2020-04-25,-11.43
2020-05-02,-11.29
2020-05-09,-10.54
2020-05-16,-10.45
2020-05-23,-9.81
2020-05-30,-9.58
2020-06-06,-9.2
2020-06-13,-8.54
2020-06-20,-7.85
2020-06-27,-7.62
2020-07-04,-7.19
2020-07-11,-6.97
2020-07-18,-7.61
2020-07-25,-7.2
2020-08-01,-6.75
2020-08-08,-6.05
2020-08-15,-6.14
2020-08-22,-5.29
2020-08-29,-4.79
2020-09-05,-5.06
2020-09-12,-5.91
2020-09-19,-4.89
2020-09-26,-4.77
2020-10-03,-4.32
2020-10-10,-4.03
2020-10-17,-4.01
2020-10-24,-3.49
2020-10-31,-3.16
2020-11-07,-2.95
2020-11-14,-2.93
2020-11-21,-2.86
2020-11-28,-2.07
2020-12-05,-2.45
2020-12-12,-2.69
2020-12-19,-1.91
2020-12-26,-0.61
2021-01-02,-1.85
2021-01-09,-1.62
2021-01-16,-1.94
2021-01-23,-1.88
2021-01-30,-1.88
2021-02-06,-1.98
2021-02-13,-1.43
2021-02-20,-2.66
2021-02-27,-1.55
2021-03-06,-0.74
2021-03-13,-0.33
2021-03-20,4.52
2021-03-27,8.13
2021-04-03,9.85
2021-04-10,11.81
2021-04-17,11.97
2021-04-24,12.01
2021-05-01,11.98
2021-05-08,11.37
2021-05-15,11.38
2021-05-22,11.29
2021-05-29,11.22
2021-06-05,9.97
2021-06-12,10.5
2021-06-19,9.89
2021-06-26,9.95
