fiscal_year,RTTBase
2000,645994633.6222949
2001,1604017253.237141
2002,2368787856.981196
2003,3348064343.134005
2004,4374072840.791631
2005,5163412899.3593025
2006,6634851665.116482
2007,6732160465.546331
2008,5724273863.728958
2009,4063940471.8562536
2010,3972555999.557372
2011,4041087455.7988358
2012,4416606281.370375
2013,4861961377.729612
2014,5859252486.370064
2015,6965079919.0160675
2016,8067084931.1218
2017,8298648557.377264
2018,9015236504.99843
2019,8948461846.36852
2020,8705448342.739021
2021,9439744175.727152
2022,17707864379.451958
2023,12426956508.14194
2024,10536001494.789185
2025,10400517918.3553
2026,12226237734.5624
2027,14615510776.388384
2028,16051121833.127554
